model,objective,signal,cosmetic,sr,ci_low,ci_high,sr_geometry_only,noise_shift
ViT-B/32,supervised,0.31540364027023315,0.3093701899051666,0.5048285075923976,0.4948590909245621,0.514211745650825,0.5871566300821521,0.48457545042037964
ConvNeXt-Tiny,supervised,0.3456805348396301,0.34512996673583984,0.5003984943067127,0.49316464505507385,0.5074805595129438,0.5864440435928053,0.5478472113609314
I-JEPA ViT-H/14 (22k),joint-embedding,0.40380576252937317,0.411519855260849,0.49526931782642664,0.48439779644270714,0.505481282847051,0.6975532791839328,0.8843935132026672
DINOv1 ViT-B/16,self-distillation,0.3107776641845703,0.32100430130958557,0.4919065138896325,0.48236543059973147,0.5017398828188114,0.622596141933967,0.5862399339675903
Pixtral-ViT,language,0.3623422086238861,0.40220800042152405,0.4739285979351095,0.46203472249926686,0.4862706876082595,0.5425003778212943,0.5954856276512146
I-JEPA ViT-H/14,joint-embedding,0.2952331602573395,0.3722395598888397,0.4423149461339517,0.43023021447186094,0.45382189767100783,0.5971902933724645,0.7184443473815918
DINOv2 ViT-B/14,self-distillation,0.2376912534236908,0.30765295028686523,0.4358554685397308,0.4226645823160377,0.44947362572304594,0.5682671247614881,0.5617937445640564
EfficientNet-B0,supervised,0.2588081657886505,0.3448150157928467,0.4287578305236244,0.4183764888880032,0.4392192948811388,0.565839783129178,0.6372859477996826
DINOv2 ViT-S/14,self-distillation,0.22622032463550568,0.30211687088012695,0.4281741405973227,0.4151049758281478,0.4410547599902922,0.5381791470619702,0.5181034803390503
ResNet-50,supervised,0.21739324927330017,0.3763692378997803,0.3661282987214558,0.3566418932828376,0.37541394141441803,0.5361333069621707,0.7529271245002747
MAE ViT-B/16,reconstruction,0.07059408724308014,0.20582477748394012,0.2553880948494449,0.2283259276356762,0.2821070528610607,0.7540009792088224,0.5714105367660522
