model,objective,data,signal,cosmetic,sr,ci_low,ci_high,inert
I-JEPA ViT-H/14 (22k),joint-embedding,IN-22K,0.38558611273765564,0.1298585832118988,0.7480649539468579,0.7385215109037401,0.7577871575521526,False
MAE ViT-B/16,reconstruction,IN-1K,0.09218478202819824,0.039072807878255844,0.702319630384021,0.6902903725145937,0.7145944795924434,False
DINOv1 ViT-B/16,self-distillation,IN-1K,0.2946484386920929,0.1270252913236618,0.6987592959160253,0.6884358413201275,0.709054676619949,False
I-JEPA ViT-H/14,joint-embedding,IN-1K,0.28548142313957214,0.13983885943889618,0.671215163802829,0.6582365705792298,0.6831929988081549,False
ViT-B/32,supervised,IN-1K,0.290322870016098,0.1440238058567047,0.6684127821001634,0.6585945931871362,0.678173100727815,False
DINOv2 ViT-B/14,self-distillation,LVD-142M,0.22813040018081665,0.11609816551208496,0.662729427238586,0.6468863235513281,0.6783075113692472,False
EfficientNet-B0,supervised,IN-1K,0.26430973410606384,0.14090342819690704,0.6522733185760733,0.6403554656088517,0.6631486098041295,False
DINOv2 ViT-S/14,self-distillation,LVD-142M,0.22153380513191223,0.12704752385616302,0.6355297507615238,0.6202443872962867,0.6502411164908197,False
Pixtral-ViT,language,image-text,0.35663914680480957,0.20767883956432343,0.631982597434922,0.6191850493128939,0.6451425930322919,False
ResNet-50,supervised,IN-1K,0.20643214881420135,0.14650967717170715,0.5848900119376708,0.5741685408840299,0.5952339973598952,False
ConvNeXt-Tiny,supervised,IN-22K,0.247319757938385,0.17838013172149658,0.5809720978222107,0.5687352671236592,0.5926291130988988,False
